,audio_path,transcripts,tag
0,segments_16k/6mX66RFC8AU_00147222_00147352.wav,con có làm gì đâu,Yes
1,segments_16k/6mX66RFC8AU_00187470_00187684.wav,cô có thứ gì muốn trao đổi để lấy được thuốc không,Yes
2,segments_16k/6mX66RFC8AU_00189944_00190164.wav,thiết bị trao đổi này có một điểm đặc biệt đó là,Yes
3,segments_16k/6mX66RFC8AU_00190264_00190554.wav,thì dù ai đi chăng nữa cũng không thể nào cưỡng lại được vụ trao đổi này,Yes
4,segments_16k/6mX66RFC8AU_00206046_00206358.wav,hoàng tử điện hạ và công chúa nước láng giềng đã kết hôn với nhau rồi sao,Yes
5,segments_16k/6mX66RFC8AU_00207288_00207448.wav,cô đâu có bị mất giọng nói đâu,Yes
6,segments_16k/6mX66RFC8AU_00207902_00208134.wav,đương nhiên là phải đi kiếm hoàng tử để nói cho rõ ràng,Yes
7,segments_16k/6mX66RFC8AU_00208306_00208576.wav,thật không ngờ ngài lại là kẻ vông ơn phụ nghĩa,Yes
8,segments_16k/6mX66RFC8AU_00208678_00209042.wav,người đã cứu sống ngài trong đêm giông tố hôm đó chính là công chúa người cá này,Yes
9,segments_16k/6mX66RFC8AU_00209194_00209344.wav,trong đêm giông tố bão bùng,Yes
10,segments_16k/6mX66RFC8AU_00210984_00211292.wav,nếu cô ấy còn là người cá thì sẽ sống được tới ba trăm năm,Yes
11,segments_16k/6mX66RFC8AU_00211360_00211776.wav,còn bây giờ cô ấy đã hi sinh tất cả để biến thành người chỉ vì muốn gặp hoàng tử,Yes
12,segments_16k/6mX66RFC8AU_00212169_00212362.wav,nói là chính tôi đã cứu hoàng tử,Yes
13,segments_16k/6mX66RFC8AU_00215273_00215602.wav,tôi tới đây để thay đổi số mệnh của công chúa người cá mà,Yes
14,segments_16k/6mX66RFC8AU_00217112_00217394.wav,sao cô không tự nói ra điều đó với hoàng tử điện hạ,Yes
15,segments_16k/6mX66RFC8AU_00217734_00217848.wav,có gì đâu mà khó,Yes
16,segments_16k/6mX66RFC8AU_00220388_00220556.wav,tôi không thể làm như vậy được đâu,Yes
17,segments_16k/6mX66RFC8AU_00220556_00220754.wav,cô muốn biến như bọt biển hay sao chứ,Yes
18,segments_16k/6mX66RFC8AU_00226864_00227069.wav,chẳng kém gì hoàng tử điện hạ đâu có đúng không,Yes
19,segments_16k/6mX66RFC8AU_00243940_00244094.wav,được rồi tạm dừng tại đây,Yes
20,segments_16k/6mX66RFC8AU_00244616_00244814.wav,người cứu chàng trong đêm tố đó,Yes
21,segments_16k/6mX66RFC8AU_00247476_00247894.wav,nhưng mà dù sao đó cũng là một cái có hậu,Yes
22,segments_16k/6mX66RFC8AU_00248440_00248676.wav,để anh đọc lại truyện này cho em nghe nha,Yes
23,segments_16k/6mX66RFC8AU_00249328_00249552.wav,thiệt tuyệt vời ông mặt trời luôn á,Yes
24,segments_16k/6mX66RFC8AU_00250386_00250552.wav,yên tâm đi không sao đâu,Yes
25,segments_16k/6mX66RFC8AU_00250552_00250814.wav,lần này besoco nghe được sẽ không khóc nữa đâu,Yes
26,segments_16k/tR_O63IOMZc_00011442_00012286.wav,hay là vậy mình sẽ giúp các cậu đổi mẹ cho nhau các cậu muốn thử không hả hộp hoán đổi gia đình,No
27,segments_16k/tR_O63IOMZc_00065084_00065372.wav,ngay cả đệm ngồi cũng có linh hồn,Yes
28,segments_16k/tR_O63IOMZc_00073154_00073434.wav,ở thế kỷ hai mươi hai thì đây vẫn là một vấn đề nan giải,Yes
29,segments_16k/tR_O63IOMZc_00081422_00081672.wav,cậu đừng có được nước làm tới như vậy có được không,Yes
30,segments_16k/tR_O63IOMZc_00114911_00115226.wav,nếu muốn vậy chúng ta phải tắt công tắc ở trên cây gậy linh hồn,Yes
31,segments_16k/tR_O63IOMZc_00115533_00115733.wav,không có nói là tụi mình có làm được gì đâu,Yes
32,segments_16k/tR_O63IOMZc_00124533_00124766.wav,mình đã tìm thấy cái gậy linh hồn rồi đây nè,Yes
33,segments_16k/QGewgwDRWr4_00009540_00009758.wav,ủa sao hôm nay cậu đi học về sớm vậy,Yes
34,segments_16k/QGewgwDRWr4_00023492_00023806.wav,bảo bối này có thể giúp chúng ta khoan sâu vào trong lòng đất á,Yes
35,segments_16k/QGewgwDRWr4_00029492_00029748.wav,thôi tiêu rồi chúng ta đào trúng mạch nước ngầm,Yes
36,segments_16k/QGewgwDRWr4_00039252_00039514.wav,hy vọng là ba của chúng ta sẽ không cảm thấy mệt mỏi,Yes
37,segments_16k/QGewgwDRWr4_00050878_00051098.wav,tàu ngầm của chúng ta sắp đến nơi rồi đó ba,Yes
