audio_path,transcripts,tag
segments_16k/6mX66RFC8AU_00094358_00094478.wav,cậu đứng lại đó,Yes
segments_16k/6mX66RFC8AU_00110956_00111158.wav,dù sao thì đây cũng là lỗi của,Yes
segments_16k/6mX66RFC8AU_00133012_00133152.wav,xin chào ,Yes
segments_16k/6mX66RFC8AU_00133888_00134092.wav,anh có nhiều đồ chơi lắm nè,Yes
segments_16k/6mX66RFC8AU_00135474_00135588.wav,nói chuyện nhỏ như con thỏ,Yes
segments_16k/6mX66RFC8AU_00138418_00138728.wav,và chàng hoàng tử cũng bị rơi xuống biển sâu thẳm,Yes
segments_16k/6mX66RFC8AU_00138776_00138962.wav,biết được tin không lành đó,Yes
segments_16k/6mX66RFC8AU_00139972_00140094.wav,để lấy được đôi chân,Yes
segments_16k/6mX66RFC8AU_00140166_00140450.wav,sau đó công chúa người cá đã biến thành người,Yes
segments_16k/6mX66RFC8AU_00140450_00140740.wav,và có cơ hội được gặp lại người trong mộng của mình,Yes
segments_16k/6mX66RFC8AU_00140992_00141248.wav,hoàng tử ấy lại hiểu lầm công chúa nước láng giềng,Yes
segments_16k/6mX66RFC8AU_00141310_00141544.wav,nên đã yêu thương và kết hôn cùng người đó,Yes
segments_16k/6mX66RFC8AU_00141730_00142022.wav,trái tim của nàng tiên cá nhỏ như tan vỡ,Yes
segments_16k/6mX66RFC8AU_00142434_00142696.wav,nếu như nàng đâm hoàng tử bằng con dao đó,Yes
segments_16k/6mX66RFC8AU_00142696_00142900.wav,thì nàng sẽ trở lại là tiên cá,Yes
segments_16k/6mX66RFC8AU_00143448_00143840.wav,và công chúa người cá đã biến mất như bọt biển dưới đáy đại dương,Yes
segments_16k/6mX66RFC8AU_00148078_00148314.wav,em ấy khóc đâu phải là lỗi tại con đâu,Yes
segments_16k/6mX66RFC8AU_00149468_00149742.wav,à tại truyện cổ tích này buồn quá làm người ta khóc chứ bộ,Yes
segments_16k/6mX66RFC8AU_00152434_00152634.wav,mình chỉ đang ở trong cuốn truyện tranh thôi mà,Yes
segments_16k/6mX66RFC8AU_00161068_00161300.wav,chàng trai đang đứng trên con thuyền đó chẳng lẽ,Yes
segments_16k/6mX66RFC8AU_00164584_00164740.wav,sau khi chàng ấy rơi xuống biển,Yes
segments_16k/6mX66RFC8AU_00167544_00167734.wav,công chúa người cá đi đâu rồi,Yes
segments_16k/6mX66RFC8AU_00168786_00168938.wav,cũng đã cứu được hoàng tử rồi,Yes
segments_16k/6mX66RFC8AU_00186622_00186814.wav,vậy thì bà đừng có trách ta nha,Yes
segments_16k/6mX66RFC8AU_00192864_00193016.wav,tuy là hơi khó hiểu một chút,Yes
segments_16k/6mX66RFC8AU_00193428_00193654.wav,thì cứ yên tâm để cho mình ra mặt đàm phán là được,Yes
segments_16k/6mX66RFC8AU_00194802_00195044.wav,không biết chân dài ra nó làm sao,Yes
segments_16k/6mX66RFC8AU_00198822_00199056.wav,tôi không phải là chồn đâu nha,Yes
segments_16k/6mX66RFC8AU_00199534_00199738.wav,hơn nữa tôi đâu phải là đối thủ của hoàng tử chứ,Yes
segments_16k/6mX66RFC8AU_00201674_00201808.wav,thì mình cũng về thôi,Yes
segments_16k/6mX66RFC8AU_00203268_00203552.wav,chắc chắn là bây giờ kết thúc câu chuyện đã có hậu rồi nè,Yes
segments_16k/6mX66RFC8AU_00206694_00207028.wav,lẽ ra cô nên nói với hoàng tử cô là người đã cứu hoàng tử chứ,Yes
segments_16k/6mX66RFC8AU_00209560_00209802.wav,ngoài cô ấy ra thì không có ai cứu được ngài đâu,Yes
segments_16k/6mX66RFC8AU_00210786_00210984.wav,bao nhiêu đó chứ không phải là tất cả đâu nha,Yes
segments_16k/6mX66RFC8AU_00217916_00218150.wav,nói ra rồi thì hoàng tử sẽ công nhận làm người,Yes
segments_16k/6mX66RFC8AU_00219456_00219723.wav,chúng ta hãy cùng đi tìm hoàng tử nói cho rõ,Yes
segments_16k/6mX66RFC8AU_00220754_00220966.wav,chắc chắn nesoko sẽ khóc nhè còn mẹ thì,Yes
segments_16k/6mX66RFC8AU_00226664_00226864.wav,người đó nhất đã rất tốt bụng và đẹp trai,Yes
segments_16k/6mX66RFC8AU_00230796_00231069.wav,nhưng mà đột nhiên cô nói kết hôn,Yes
segments_16k/6mX66RFC8AU_00237298_00237640.wav,chỉ cần quay lại lúc công chúa cứu hoàng tử dưới đại dương là được rồi,Yes
segments_16k/6mX66RFC8AU_00237964_00238350.wav,để coi cái khúc hoàng tử bị sóng nhấn chìm rồi công chúa cứu lên là ở đâu ta,Yes
segments_16k/6mX66RFC8AU_00242496_00242850.wav,nếu như vậy thì hoàng tử sẽ không biết rằng công chúa láng giềng đã cứu mình,Yes
segments_16k/6mX66RFC8AU_00242956_00243323.wav,sau đó chỉ cần nhờ công chúa người cá nói ra mọi chuyện vậy là xong,Yes
segments_16k/6mX66RFC8AU_00244396_00244526.wav,hoàng tử điện hạ,Yes
segments_16k/6mX66RFC8AU_00248890_00249146.wav,nhưng lần này kết thúc sẽ rất hay,Yes
segments_16k/6mX66RFC8AU_00257898_00258248.wav,mình nghĩ hôm nay nobita sẽ không được một cái kết có hậu rồi,Yes
segments_16k/tR_O63IOMZc_00004244_00004632.wav,lần này mẹ quá đáng thật dù có la mắng cậu thì cũng không nên nặng lời như vậy,Yes
segments_16k/tR_O63IOMZc_00022566_00023866.wav,hay quá việc hoán đổi mẹ cho nhau như vậy là xong bây giờ các cậu có thể yên tâm về nhà để gặp mẹ mới nhưng cậu có chắc là mình đổi được mẹ rồi hay không cậu không cần lo lắng nữa mà chắc chắn là đã đổi được rồi,Yes
segments_16k/tR_O63IOMZc_00024668_00025040.wav,để mình về lấy cuốn tập đã chờ mình với nobita,Yes
segments_16k/tR_O63IOMZc_00072438_00072744.wav,con người thời xưa biết trân trọng đồ đạc hơn bây giờ rất nhiều,Yes
segments_16k/tR_O63IOMZc_00074824_00075116.wav,nó sẽ giúp đồ vật không bị bỏ đi một cách phí phạm như trước,Yes
segments_16k/tR_O63IOMZc_00083072_00083336.wav,tại sao mình lại đưa cây gậy đó cho cậu ấy chứ,Yes
segments_16k/tR_O63IOMZc_00100666_00100876.wav,để mình lấy tivi vệ tinh cho cậu coi nha,Yes
segments_16k/tR_O63IOMZc_00128756_00129050.wav,nếu như tất cả mọi người đều quý trọng đồ vật giống như ba,Yes
segments_16k/QGewgwDRWr4_00010684_00010996.wav,suốt ngày cậu chỉ quanh quẩn ở trong nhà là không có lớn được đâu,Yes
segments_16k/QGewgwDRWr4_00012036_00012282.wav,thôi mà ráng lên đi đừng có than vãn nữa,Yes
segments_16k/QGewgwDRWr4_00019810_00020048.wav,từ trước tới giờ mới thấy cậu có một ý kiến hay,Yes
segments_16k/QGewgwDRWr4_00020886_00021236.wav,cậu có biết xây đường hầm để làm tàu điện ngầm khó khăn tới cỡ nào hay không,Yes
segments_16k/QGewgwDRWr4_00021352_00021570.wav,không được không được chuyện này tuyệt đối không được,Yes
segments_16k/QGewgwDRWr4_00025462_00025672.wav,đây chính là hướng đến công ty của ba mà,Yes
segments_16k/QGewgwDRWr4_00027468_00027730.wav,thật ra tàu ngầm của chúng ta đã đâm thẳng vào bãi giữ xe,Yes
segments_16k/QGewgwDRWr4_00028382_00028614.wav,chúng ta cần phải đào sâu hơn nữa mới được,Yes
segments_16k/QGewgwDRWr4_00030689_00030989.wav,kể từ giờ chúng ta phải đào đường hầm thật cẩn thận mới được,Yes
segments_16k/QGewgwDRWr4_00031504_00031720.wav,sắp tới siêu thị rồi kìa,Yes
segments_16k/QGewgwDRWr4_00039514_00039684.wav,mỗi khi đi làm bằng tàu điện ngầm,Yes
segments_16k/QGewgwDRWr4_00048976_00049082.wav,trễ giờ rồi,Yes
segments_16k/QGewgwDRWr4_00053967_00054272.wav,thì ra họ đang xây dựng một công trình ngầm dưới lòng đất đó,Yes
segments_16k/QGewgwDRWr4_00055084_00055402.wav,vậy thì bây giờ chúng ta phải vận dụng hết công suất khoan của bảo bối,Yes
segments_16k/QGewgwDRWr4_00058602_00058664.wav,cái đó ba,Yes
segments_16k/QGewgwDRWr4_00058664_00058832.wav,để tụi con làm được rồi,Yes
segments_16k/QGewgwDRWr4_00078390_00078762.wav,nếu như vậy thì chúng ta chỉ cần chụp rõ hình ảnh của cô gái này là được,Yes
segments_16k/QGewgwDRWr4_00079234_00079464.wav,bây giờ chỉ cần để tấm hình này vào trong cái máy,Yes
segments_16k/QGewgwDRWr4_00079690_00079934.wav,sau đó chỉ cần chúng ta phóng to lên,Yes
segments_16k/uS3yuKT6km0_00032548_00032842.wav,đã hết ba mươi phút nên cậu đã trở lại như cũ,Yes
segments_16k/uS3yuKT6km0_00064870_00065079.wav,chứ không bao giờ đánh thắng được jaian,Yes
segments_16k/uS3yuKT6km0_00072650_00072864.wav,dạ em cảm ơn anh ryoma nhiều lắm,Yes
segments_16k/uS3yuKT6km0_00095664_00095908.wav,nhưng mình cá là ba sẽ quên đem dù,Yes
segments_16k/uS3yuKT6km0_00111780_00112004.wav,nhưng ở đây làm gì có bông hoa nào đâu,Yes
segments_16k/uS3yuKT6km0_00131152_00131356.wav,biết tìm đâu ra một con rắn bây giờ chứ,Yes
segments_16k/uS3yuKT6km0_00148998_00149186.wav,chong chóng tre nè nobita,Yes
segments_16k/4I3gWNrhmCs_00060208_00062174.wav,ta ma đó là chị mi ki đúng không nói vậy con mèo sớm đi làm mà mình cứ được chính là chị họ của ta ma á hả là chị của cậu ấy đó cám ơn cậu đã giúp đỡ nha nobita không có gì đâu phải rồi lúc không có mình hai cậu hợp tác vui vẻ,Yes
segments_16k/QFQgN2YSqOk_00015688_00015991.wav,người thân nhiệt của chúng ta là thích hợp nhất để ấp nở nó đó có biết không,Yes
segments_16k/QFQgN2YSqOk_00016828_00017080.wav,dù có nở ra cái gì thì cậu vẫn phải chăm sóc nó,Yes
segments_16k/QFQgN2YSqOk_00018928_00019188.wav,mình phải đi tới tương lai tìm hiểu một chút rồi quay về liền,Yes
segments_16k/QFQgN2YSqOk_00031404_00031850.wav,nhưng mà quả trứng này chỉ là nghiên cứu của các nhà khoa học thế kỷ hai mươi hai mà thôi,Yes
segments_16k/QFQgN2YSqOk_00033042_00033248.wav,cậu có bị khùng hay không vậy đó là do,Yes
segments_16k/QFQgN2YSqOk_00036156_00036406.wav,nói một cách chính xác thì đó là dòng khí ấm,Yes
segments_16k/QFQgN2YSqOk_00038826_00039070.wav,cậu đừng cho nó ăn nhiều quá không khéo sẽ gặp phiền phức,Yes
segments_16k/QFQgN2YSqOk_00076196_00076476.wav,đáng lẽ gió thì nên ở bên ngoài mới đúng,Yes
segments_16k/QFQgN2YSqOk_00089584_00089804.wav,vì đây là cách giải quyết tốt nhất cho cậu mà,Yes
segments_16k/QFQgN2YSqOk_00107100_00107359.wav,nhưng mà chuyện này không hề dễ như cậu nghĩ đâu nobita,Yes
segments_16k/QFQgN2YSqOk_00107711_00107880.wav,thì sức người không làm được gì đâu,Yes
segments_16k/QFQgN2YSqOk_00107880_00108209.wav,trừ khi có một hiện tượng thiên nhiên khác đánh bật nó thôi,Yes
segments_16k/QFQgN2YSqOk_00109816_00109933.wav,là cúp điện đó mà,Yes
segments_16k/QFQgN2YSqOk_00120042_00120324.wav,là fuko đang chiến đấu với cơn bão,Yes
segments_16k/QFQgN2YSqOk_00120866_00121018.wav,nên muốn bảo vệ cậu đó,Yes
segments_16k/QFQgN2YSqOk_00121018_00121274.wav,mình tin là fuko sẽ chiến thắng yên tâm,Yes
segments_16k/gUDVVodgXDQ_00028054_00028366.wav,cậu mà trong đó lâu quá là ngập socola luôn đó,Yes
segments_16k/gUDVVodgXDQ_00054866_00055134.wav,truy tìm kho báu núi đầu lâu,Yes
segments_16k/gUDVVodgXDQ_00062666_00062862.wav,sao cậu lại tin đó là thật chứ,Yes
segments_16k/gUDVVodgXDQ_00063824_00064058.wav,trò chơi truy tìm kho báu,Yes
segments_16k/gUDVVodgXDQ_00064904_00065084.wav,khoan khoan nghe mình nói,Yes
segments_16k/gUDVVodgXDQ_00069796_00070060.wav,sau đó tụi mình sẽ nhận được các chỉ dẫn để đi tìm,Yes
segments_16k/gUDVVodgXDQ_00070862_00071126.wav,mình nghĩ là nó sẽ bay đâu đó ở trên núi,Yes
