,audio_path,transcripts,tag
0,segments_16k/0MjJhJhmhs4_00186348_00186666.wav,thì nó sẽ tạo ra phản lực tương tự như khí phản lực của tàu vũ trụ,Yes
1,segments_16k/0MjJhJhmhs4_00186990_00187206.wav,cậu có thể dùng bảo bối này để bay tự do,Yes
2,segments_16k/0MjJhJhmhs4_00210067_00210323.wav,tụi mình có thể chuyển đổi chất liệu từ giấy thành sắt á,Yes
3,segments_16k/0MjJhJhmhs4_00215134_00215421.wav,chỉ cần biến đổi chất liệu giấy thành sắt nữa là hoàn thành,Yes
4,segments_16k/0MjJhJhmhs4_00223321_00223534.wav,con tàu này không đủ mạnh để bay trong không gian đâu,Yes
5,segments_16k/0MjJhJhmhs4_00223740_00223964.wav,tàu con thoi được tạo ra cho mục đích sử dụng khác,Yes
6,segments_16k/0MjJhJhmhs4_00223964_00224204.wav,chứ không phải để đi tới các hành tinh như cậu nghĩ đâu,Yes
7,segments_16k/0MjJhJhmhs4_00225740_00225869.wav,chuyển hướng qua bên trái đi,Yes
8,segments_16k/0MjJhJhmhs4_00236973_00237238.wav,chúng ta không hiểu rõ về bất cứ động vật nào ở đây đâu,Yes
9,segments_16k/0MjJhJhmhs4_00238776_00238988.wav,một hành tinh nhỏ bé chưa từng được ai biết tới,Yes
10,segments_16k/0MjJhJhmhs4_00238988_00239198.wav,và hôm nay nó sẽ được nhân loại khám phá,Yes
11,segments_16k/0MjJhJhmhs4_00239834_00240169.wav,có vẻ như là hành tinh này có tồn tại sự sống đó các cậu à,Yes
12,segments_16k/LPz-RcaQDfs_00020238_00020484.wav,trước tiên là cậu ấn vào cái nút ở trên đầu của nó,Yes
13,segments_16k/LPz-RcaQDfs_00022414_00022612.wav,nên mình đã dùng cái này để đuổi nó đi,Yes
14,segments_16k/LPz-RcaQDfs_00024154_00024298.wav,thôi mình cho cậu mượn nè,Yes
15,segments_16k/LPz-RcaQDfs_00071120_00071254.wav,thì à mình nghĩ ra rồi,Yes
16,segments_16k/LPz-RcaQDfs_00071974_00072142.wav,sẽ làm theo những gì mà cậu muốn đó,Yes
17,segments_16k/LPz-RcaQDfs_00095636_00095862.wav,người đánh banh chuẩn bị ra ngoài thi đâu,Yes
18,segments_16k/LPz-RcaQDfs_00120659_00120892.wav,không biết bây giờ nobita ở nhà sao rồi,Yes
19,segments_16k/LPz-RcaQDfs_00120892_00121108.wav,mình cứ cảm thấy lo lắng cho cậu ấy hoài,Yes
20,segments_16k/Um5vswM5j5U_00002562_00002776.wav,cậu ngáy vài cái là trả lời mình rồi đó sao,Yes
21,segments_16k/Um5vswM5j5U_00016756_00016984.wav,mẹ ơi hình như sàn nhà đang chuyển động kìa,Yes
22,segments_16k/Um5vswM5j5U_00022056_00022412.wav,một khi đã bật ngôi nhà rèn luyện là không thể sử dụng bảo bối khác được,Yes
23,segments_16k/Um5vswM5j5U_00035808_00036076.wav,đáng lý ông phải nói cho tôi biết sớm chứ,Yes
24,segments_16k/Um5vswM5j5U_00072912_00073042.wav,chỉ cần cậu đeo đồng hồ này,Yes
25,segments_16k/Um5vswM5j5U_00081628_00081842.wav,mẹ thấy là bị ăn đòn liền ngay cho coi,Yes
26,segments_16k/Um5vswM5j5U_00097912_00098030.wav,tới giờ cậu làm bài tập,Yes
27,segments_16k/Um5vswM5j5U_00114664_00114952.wav,chúng ta có thể tìm người ký hợp đồng dài hạn với chúng,Yes
28,segments_16k/Um5vswM5j5U_00114952_00115270.wav,và ấn định thời gian kiểm tra định kỳ ngôi nhà có chuột hay là không,Yes
29,segments_16k/5IafY9dMiFQ_00006562_00006820.wav,hành lễ với đội trưởng nobita,Yes
30,segments_16k/5IafY9dMiFQ_00008248_00008506.wav,mặc dù cậu đi đâu thì cũng sẽ có phân cấp bậc hết á,Yes
31,segments_16k/5IafY9dMiFQ_00008506_00009024.wav,ở công ty thì sẽ có giám đốc quản lý trưởng nhóm người giám sát và nhân viên,Yes
32,segments_16k/5IafY9dMiFQ_00013782_00014063.wav,nó được mô phỏng dựa theo các cấp bậc của quân đội,Yes
33,segments_16k/5IafY9dMiFQ_00014440_00014700.wav,nó được phân cấp bậc từ cao nhất cho đến thấp nhất,Yes
34,segments_16k/5IafY9dMiFQ_00042932_00043070.wav,à nobita ơi,Yes
35,segments_16k/5IafY9dMiFQ_00043070_00043294.wav,cùng nhau đi ăn sáng thôi,Yes
36,segments_16k/5IafY9dMiFQ_00043744_00043904.wav,mau ra ăn sáng với mình đi,Yes
37,segments_16k/5IafY9dMiFQ_00057841_00058155.wav,nếu như cậu cầm cái ống hút tên lửa này và thổi hơi vào,Yes
38,segments_16k/5IafY9dMiFQ_00058155_00058478.wav,thì cậu có thể sản sinh ra một lực tương tự như tên lửa,Yes
39,segments_16k/5IafY9dMiFQ_00058478_00058888.wav,sau đó điều chỉnh lực và hướng bay cậu có thể bay tự do trên bầu trời luôn,Yes
40,segments_16k/5IafY9dMiFQ_00059050_00059288.wav,cậu hướng nó xuống dưới đất và thổi nhẹ thử đi,Yes
41,segments_16k/5IafY9dMiFQ_00071900_00072136.wav,thôi trả lại cho mình đi nguy hiểm lắm,Yes
42,segments_16k/5IafY9dMiFQ_00073792_00073994.wav,là cậu gây chiến đó nha,Yes
43,segments_16k/5IafY9dMiFQ_00077340_00077498.wav,đây đây là ống hút tên lửa sao,No
44,segments_16k/5IafY9dMiFQ_00080862_00081056.wav,máy biến đổi vật liệu,Yes
45,segments_16k/5IafY9dMiFQ_00081056_00081238.wav,chúng ta sẽ dùng giấy để làm phần thân,Yes
46,segments_16k/5IafY9dMiFQ_00083464_00083742.wav,cái này vị trí lắp đặt của nó chính là ở chỗ bên này,Yes
47,segments_16k/5IafY9dMiFQ_00090600_00090712.wav,phải thổi liên tục chứ,Yes
48,segments_16k/5IafY9dMiFQ_00091546_00091696.wav,đó là chuyện không thể đâu nobita,Yes
49,segments_16k/5IafY9dMiFQ_00092490_00092620.wav,cậu cũng biết điều đó mà,Yes
50,segments_16k/5IafY9dMiFQ_00094708_00094852.wav,thám hiểm vũ trụ,Yes
51,segments_16k/5IafY9dMiFQ_00095782_00095924.wav,khi chúng ta đội nó lên,Yes
52,segments_16k/5IafY9dMiFQ_00096022_00096148.wav,chúng ta sẽ nhìn giống như là,Yes
53,segments_16k/5IafY9dMiFQ_00111452_00111618.wav,mà trước giờ chưa ai biết đến,Yes
54,segments_16k/5IafY9dMiFQ_00113430_00113618.wav,thì ra hành tinh này có người đang sinh sống,Yes
