,audio_path,transcripts,tag
0,segments_16k/UTBDPnrVWRg_00099908_00100160.wav,nó chỉ ở đâu đó quanh đây thôi à,Yes
1,segments_16k/UTBDPnrVWRg_00102920_00103194.wav,quả cầu này không chỉ có tác dụng đi xuyên thời gian thôi đâu,Yes
2,segments_16k/UTBDPnrVWRg_00103324_00103644.wav,nó còn có thể chuyển giao nội dung tới cho người đó luôn á nha,Yes
3,segments_16k/UTBDPnrVWRg_00112818_00113132.wav,khi mới sinh ra mình cũng xinh đẹp giống Dorami vậy,Yes
4,segments_16k/UTBDPnrVWRg_00113409_00113742.wav,nếu như ngay từ lúc mới sinh ra mình biết cuối cùng sẽ ra như thế này,Yes
5,segments_16k/UTBDPnrVWRg_00116172_00116448.wav,thì mình của tương lai sẽ gặp rắc rối rất lớn,Yes
6,segments_16k/UTBDPnrVWRg_00127666_00128752.wav,đây là cái gì dạ là đèn đỏ hàng rào xuất hiện để bảo vệ người đi bộ đang lúc cấp bách mà còn đèn đỏ,Yes
7,segments_16k/UTBDPnrVWRg_00131162_00133462.wav,đó là nơi mà mình đã được sinh ra đó mà à không lúc này thì vẫn chưa có đâu đúng rồi mình cứ tới đó đi nhìn kìa quá trời Doraemon luôn quả cầu ở bên kia,No
8,segments_16k/UTBDPnrVWRg_00150076_00150250.wav,có một cái nam châm cực âm đó,Yes
9,segments_16k/UTBDPnrVWRg_00205784_00205973.wav,vậy mà mình không nghĩ ra ta,Yes
10,segments_16k/UTBDPnrVWRg_00206132_00206390.wav,vậy là mình có thể trở lại như cũ rồi,Yes
11,segments_16k/UTBDPnrVWRg_00209969_00210090.wav,tại cậu đó Nobita,Yes
12,segments_16k/UTBDPnrVWRg_00210856_00211080.wav,Mi mình không thể cho cô ấy thấy mình như vậy,Yes
13,segments_16k/UTBDPnrVWRg_00223676_00223926.wav,mình tập quá trời mà giảm có một ký,Yes
14,segments_16k/UTBDPnrVWRg_00228046_00228232.wav,trong đó có cả tra tấn nữa,Yes
15,segments_16k/UTBDPnrVWRg_00229736_00229956.wav,thì nó sẽ không chịu dừng lại cho đến khi mình ốm,Yes
16,segments_16k/UTBDPnrVWRg_00232384_00232498.wav,ờ đó cậu thấy chưa,Yes
17,segments_16k/UTBDPnrVWRg_00252334_00252486.wav,mình cảm ơn cậu nhiều lắm,Yes
18,segments_16k/UTBDPnrVWRg_00254884_00255086.wav,bánh rán này dành cho Mimi mà,Yes
19,segments_16k/UTBDPnrVWRg_00263610_00263886.wav,đôi mắt xanh mê hồn đó đã làm mình xốn xan,Yes
20,segments_16k/UTBDPnrVWRg_00263886_00264210.wav,đối diện với ánh mắt đó mình không thể nào cử động được luôn,Yes
21,segments_16k/UTBDPnrVWRg_00266462_00266588.wav,a cô ấy kìa,Yes
22,segments_16k/UTBDPnrVWRg_00268420_00268618.wav,mình chỉ muốn kết hôn với cô ấy thôi à,Yes
23,segments_16k/UTBDPnrVWRg_00269244_00269450.wav,mình chính là mèo máy cao cấp nhất á,Yes
24,segments_16k/UTBDPnrVWRg_00269872_00270026.wav,cô ấy đang nhìn ở bên này,Yes
25,segments_16k/UTBDPnrVWRg_00281132_00281310.wav,đương nhiên là mình nói thiệt rồi,Yes
26,segments_16k/UTBDPnrVWRg_00291717_00291907.wav,nhưng mà làm sao tặng cô ấy đây,Yes
27,segments_16k/UTBDPnrVWRg_00299319_00299427.wav,rất vui được gặp cậu,Yes
28,segments_16k/UTBDPnrVWRg_00300815_00300937.wav,vậy thì tốt quá,Yes
29,segments_16k/UTBDPnrVWRg_00305103_00305365.wav,mình cũng ước gì có một căn phòng riêng giống cậu,Yes
30,segments_16k/UTBDPnrVWRg_00317811_00317953.wav,hoa đẹp quá chừng,Yes
