filename,duration,whisper_transcripts,distance,transcripts,audio_path
X2cAnj4Vhew_00078104_00078458,3.54, Thì tới lúc đó mình sẽ cho cậu ấy mượn bảo bối nào đó phù hợp,0.43859620753964057,thì tới lúc đó mình sẽ cho cậu em mượn bảo bố nào đó phù hợp,segments_16k/X2cAnj4Vhew_00078104_00078458.wav
X2cAnj4Vhew_00089168_00089374,2.06, Nhìn cậu ý như một phù thủy thật sự,0.4672672661661668,nhìn cậu y như một phù thủy thật sự,segments_16k/X2cAnj4Vhew_00089168_00089374.wav
X2cAnj4Vhew_00090394_00090620,2.26, Thì ngay lập tức cái mũ sẽ báo cho cậu biết,0.4571160053392676,thì ngay lập tức cái mổ sẽ báo cho cậu bé,segments_16k/X2cAnj4Vhew_00090394_00090620.wav
X2cAnj4Vhew_00090854_00091082,2.28, Mình cho cậu mượn nó để giúp đỡ họ,0.38408058686132857,mình cho con mượn đó để giúp đỡ họ,segments_16k/X2cAnj4Vhew_00090854_00091082.wav
O_haU8KKnrU_00024428_00025848,14.2, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video mới nhất,0.4304485339582788,cậu là con mèo dại nhá mai mây tuyệt dài mấy dạ hát một bài nữa đây đô ra dạ có chuyện vầy nữa dạ trở nên,segments_16k/O_haU8KKnrU_00024428_00025848.wav
O_haU8KKnrU_00026036_00026336,3.0, Chắc chắn là do cậu sử dụng cái gậy chuyển đổi động vật rồi,0.4513108032749679,chị chắc chắn là do cậu sử dụng cái gãy chuyển đổi động vật,segments_16k/O_haU8KKnrU_00026036_00026336.wav
O_haU8KKnrU_00026336_00026645,3.1, Cậu không biết đó là gì mà lại tự ý lấy sử dụng vậy đó hả,0.47484414486326054,cậu không biết đó là gì mà lại tự ý lấy sử dụng vậy đó hả,segments_16k/O_haU8KKnrU_00026336_00026645.wav
O_haU8KKnrU_00108770_00108998,2.2800625, Ý ta muốn nói là ngoại trừ những người này ra,0.40935057221601884,ý tao muốn nói là ngoại trừ những người đầy ra,segments_16k/O_haU8KKnrU_00108770_00108998.wav
O_haU8KKnrU_00115620_00115778,1.5800625, Tụi mình đến đây nè Nobita,0.4184991790220156,tụi mình lên trên này nó bị,segments_16k/O_haU8KKnrU_00115620_00115778.wav
O_haU8KKnrU_00116878_00117216,3.38, Nhưng tại sao bác lại bị nhốt trong nhà ngục của thành Dracula như vậy chứ,0.34463131779279643,nhưng tại sao bác lại bị nhốt trong nhà ngục của thành ra cô làm như vậy chứ,segments_16k/O_haU8KKnrU_00116878_00117216.wav
O_haU8KKnrU_00119550_00119858,3.08, Vậy bác có biết con robot Dracula này có điểm yếu nào hay không,0.42236696496473614,vậy bác có biết con rob da cô la này có điểm yếu nào hay không,segments_16k/O_haU8KKnrU_00119550_00119858.wav
O_haU8KKnrU_00127138_00127428,2.9000625, Các ngươi hãy mau đưa nó đến chỗ Ba Tước Đại Nhân đi,0.4171355095520151,các người hãy mau đưa nó đến chỗ ba tiếp để nhân,segments_16k/O_haU8KKnrU_00127138_00127428.wav
O_haU8KKnrU_00158417_00158797,3.8," Ông chính là kẻ xấu xa đã biến mọi người trong thành phố này thành ma cà đồng, có đúng không?",0.4409297588076547,ông chính là kẻ xấu xa đã biết mọi người trong thành phố này thành ba ca ra có đúng không,segments_16k/O_haU8KKnrU_00158417_00158797.wav
O_haU8KKnrU_00166871_00167185,3.14," Anh đô đây My, em đã tỉnh lại rồi sao? Hay quá",0.41302311196653335,cảnh ra xe hay,segments_16k/O_haU8KKnrU_00166871_00167185.wav
O_haU8KKnrU_00204896_00206389,14.92, Để không bỏ lỡ những video hấp dẫn,0.3473696456658466,tìm kho báo trò chơi này sẽ đưa cậu vào một cuộc truy tìm kho báo thật sự luôn đó nha đâu mất tiêu rồi để mình coi thử coi khoan khoan nghe mình nói hãy mở ra nè ở trong đây toàn là báo giật quy,segments_16k/O_haU8KKnrU_00204896_00206389.wav
O_haU8KKnrU_00211727_00212037,3.1, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.49553082372232354,nó bay đi đâu vậy mình nghĩ là nó sẽ bay đâu đó,segments_16k/O_haU8KKnrU_00211727_00212037.wav
O_haU8KKnrU_00215891_00217019,11.28, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.39274612928824004,ba ba có chân như vậy là mai mối đã đi tìm có báo đã có rồi không trò này hấp dẫn,segments_16k/O_haU8KKnrU_00215891_00217019.wav
O_haU8KKnrU_00223096_00224135,10.38, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.38111085365482383,a sa mi mình hiểu rồi nè đây chính là một loại mật mã xi có nghĩa là bốn còn ni có nghĩa là hai đố cậu bốn nhân hai bằng máy,segments_16k/O_haU8KKnrU_00223096_00224135.wav
O_haU8KKnrU_00229085_00230321,12.36, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.3570646902810969,dạ tới giờ tới giờ cậu vẫn không biết đâu lâu là vì thiệt hay sao cậu đã đọc truyện về núi đầu lâu rồi mà đầu lâu là xương sợ của người chết đó cậu biết cho,segments_16k/O_haU8KKnrU_00229085_00230321.wav
O_haU8KKnrU_00262471_00262745,2.74, Cây tuyết tùm đơn độc có đầu lâu canh dự chính là,0.4370094492899576,cây tuyết tùng đơn độc có đầu lâu canh giữ chính là,segments_16k/O_haU8KKnrU_00262471_00262745.wav
O_haU8KKnrU_00264139_00264335,1.96, Mình để lỡ để nó ở chỗ đằng kia rồi,0.4687493138367052,mình đã lỡ để nó ở chỗ đằng kia rồi,segments_16k/O_haU8KKnrU_00264139_00264335.wav
O_haU8KKnrU_00288103_00288427,3.24, Nhưng thay vì phí sức suy nghĩ để tính chuyện cả đũa,0.39465631419942765,thay vì phí rất suy nghĩ để tính chuyện trả đũa,segments_16k/O_haU8KKnrU_00288103_00288427.wav
O_haU8KKnrU_00288629_00289029,4.0, Để trở nên khỏe mạnh và có đủ sức đối đầu với Chaya có phải là tốt hơn không,0.36916486399809656,để trở nên khỏe mạnh và có đủ sức đối đầu với trai anh có phải là tốt hơn không,segments_16k/O_haU8KKnrU_00288629_00289029.wav
O_haU8KKnrU_00303411_00303727,3.16, Chai anh mới hét lên mà cậu đã quảng sợ chạy về nhà,0.44776397374548166,trai anh mới hát lên mà cậu đã hoảng sợ chạy về nhà,segments_16k/O_haU8KKnrU_00303411_00303727.wav
O_haU8KKnrU_00319509_00319717,2.08, Đã nói cậu ấy đừng lấy rồi mà vẫn lấy,0.43065928561139555,đã nói cô ấy đừng lấy rồi mà vẫn lấy,segments_16k/O_haU8KKnrU_00319509_00319717.wav
fL5_PGid6kM_00006473_00006794,3.2000625, Loa! Phát hình tìm lại đồ vật bị thất lạc!,0.4150678223324523,là phát thanh tìm lại đồ vật bị thất lạc,segments_16k/fL5_PGid6kM_00006473_00006794.wav
fL5_PGid6kM_00012934_00013218,2.84, Hồi xưa mẹ cũng giống như Nobita!,0.47132064191487527,hai giờ mẹ cũng giống như na,segments_16k/fL5_PGid6kM_00012934_00013218.wav
fL5_PGid6kM_00049980_00050218,2.38, Trời chút đã Nobita ạ,0.40201273236954516,chơi cho cả ni ta,segments_16k/fL5_PGid6kM_00049980_00050218.wav
fL5_PGid6kM_00061562_00061748,1.86, Nobita cậu đi đâu vậy chờ mình với,0.437135145928302,ta còn đi đâu vậy chờ mình,segments_16k/fL5_PGid6kM_00061562_00061748.wav
fL5_PGid6kM_00110476_00110683,2.08, Qua đây anh cho ăn bánh nè,0.411011604255081,vừa qua đây anh trang ăn bánh nè,segments_16k/fL5_PGid6kM_00110476_00110683.wav
fL5_PGid6kM_00146590_00146922,3.32, Giấc mơ kỳ lạ của ba về ông nội,0.46227692446646196,giấc mơ kỳ lạ của ba về ông nội,segments_16k/fL5_PGid6kM_00146590_00146922.wav
fL5_PGid6kM_00159902_00160232,3.3, Ra vậy đó là người ông quá cố của Nobita phải không mẹ,0.42610510141818936,ra vậy đó là người ông quá cố của no bi ta phải không,segments_16k/fL5_PGid6kM_00159902_00160232.wav
fL5_PGid6kM_00221169_00221290,1.2, À đúng rồi Nobita,0.4787125419998714,à đúng rồi nô bi ta,segments_16k/fL5_PGid6kM_00221169_00221290.wav
fL5_PGid6kM_00249282_00249584,3.02, Ông nội của chúng ta tuyệt vời nhất trên Đài Lớc,0.4140911382605197,ông nội của chúng ta tuyệt vời nhất trên đời luôn,segments_16k/fL5_PGid6kM_00249282_00249584.wav
fL5_PGid6kM_00267730_00268132,4.02, Con mua được hàng chục cái à không hàng trăm cái bánh tráng cho con nữa,0.4241915332582822,con mua được hàng chục cái không hàng trăm cái bánh rán cho con nữa,segments_16k/fL5_PGid6kM_00267730_00268132.wav
fv4HqX3MemI_00017982_00018276,2.94, Cây lăng trợ giúp chuyển nha,0.46871485268404334,đài lăng trợ dốc chuyển,segments_16k/fv4HqX3MemI_00017982_00018276.wav
fv4HqX3MemI_00032120_00032394,2.74, Anh ta bắt cậu phải chuyển tất cả sang chung cư sao,0.43511456839038604,anh ta bắt buộc phải chuyển tất cả sang chung cư sang,segments_16k/fv4HqX3MemI_00032120_00032394.wav
fv4HqX3MemI_00032906_00033052,1.46, Để mình giúp cậu một tay nha,0.3948358339009622,để mình giúp cậu một tay nha,segments_16k/fv4HqX3MemI_00032906_00033052.wav
fv4HqX3MemI_00036294_00036438,1.44, Mình đặt cái này ở đây có được không,0.4640213476902087,mình đặt cái này ở đây có được không,segments_16k/fv4HqX3MemI_00036294_00036438.wav
fv4HqX3MemI_00045420_00045618,1.98, Nếu biết ta mình để tạm ở đây có được không,0.3698485883343157,nô bi ta mình để tạm ở đây có được không,segments_16k/fv4HqX3MemI_00045420_00045618.wav
fv4HqX3MemI_00067798_00068082,2.84, Thì bảo bối này sẽ cho cậu thấy mỗi khoảnh khắc đều không ngừng trôi,0.4719566565051246,thì bảo bố này sẽ cho thấy một khoảnh khắc đều không ngừng,segments_16k/fv4HqX3MemI_00067798_00068082.wav
fv4HqX3MemI_00068200_00068450,2.5, Cậu không cảm thấy mình đang lãng phí thời gian hay sao,0.4714283533153504,cậu không cảm thấy mình đang lãng phí tay giặt hay,segments_16k/fv4HqX3MemI_00068200_00068450.wav
fv4HqX3MemI_00069664_00069878,2.14, Mình đã nói thời gian vô cùng quý báo rồi mà,0.4416673206384782,mình đã nói thời gian vô cùng quý bao rồi mà,segments_16k/fv4HqX3MemI_00069664_00069878.wav
fv4HqX3MemI_00078464_00078778,3.14, Cậu có nhớ trong dân gian người ta hay nói bị hồ ly lừa không,0.37168806935740456,cháu có nhớ trong dân gian người ta hay nói bị hồi lư lừa không,segments_16k/fv4HqX3MemI_00078464_00078778.wav
fv4HqX3MemI_00079348_00079534,1.8600625, Cái đó không phải đồ chơi nó trả lại cho mình,0.43684765448842916,nó không phải đường chơi nó trả lại chỗ,segments_16k/fv4HqX3MemI_00079348_00079534.wav
fv4HqX3MemI_00082934_00083272,3.38, Đây chính là những câu nói không lọt lỗ tai của cậu đó Nobita,0.38852151957101866,đây chính là những câu nói công là lỗ tai của cậu đó nó bị,segments_16k/fv4HqX3MemI_00082934_00083272.wav
fv4HqX3MemI_00105946_00106272,3.26, Xem ra cậu đang rơi vào hố sâu tuyệt vọng rồi đó,0.43253066892768244,xem ra cô đang rơi vào hố sau tôi chọn và,segments_16k/fv4HqX3MemI_00105946_00106272.wav
fv4HqX3MemI_00111718_00112000,2.82, Nếu mà cậu nói như vậy trái tim của cậu sẽ dở thiệt đó,0.48193112536624716,là cô nói cái trái tim của cậu sẽ dở thiệt đó,segments_16k/fv4HqX3MemI_00111718_00112000.wav
fv4HqX3MemI_00115911_00116116,2.04, Tóm lại Lobita được mấy điểm vậy thầy,0.42791207037822016,tóm lại nobita được mấy điểm rồi thầy,segments_16k/fv4HqX3MemI_00115911_00116116.wav
fv4HqX3MemI_00119433_00119694,2.6, Lobita vui quá nên bay bỏng á thầy,0.36467723131229757,nó bị ta vui quá nên tay bà á,segments_16k/fv4HqX3MemI_00119433_00119694.wav
fv4HqX3MemI_00125696_00125864,1.68, Thì ra là vậy mình biết rồi,0.4764566803573575,thì ra là vậy mình biết rồi,segments_16k/fv4HqX3MemI_00125696_00125864.wav
fv4HqX3MemI_00126033_00126292,2.58, Đó chính là âm thanh của mùa xuân đang đến đó,0.4546076452665763,đó chính là âm thanh của mùa xuân đang đến,segments_16k/fv4HqX3MemI_00126033_00126292.wav
fv4HqX3MemI_00137890_00138118,2.28, Bất cứ thứ gì cũng có thể trở nên thành đồ cao cấp,0.3945404684660605,bất cứ thứ gì cũng có thể trở nên thành đồ cao cấp,segments_16k/fv4HqX3MemI_00137890_00138118.wav
fv4HqX3MemI_00141392_00141728,3.3600625, Chuyến du lịch định mệnh của Nobita,0.43379695352929354,chuyến du lịch định mà có na bi,segments_16k/fv4HqX3MemI_00141392_00141728.wav
fv4HqX3MemI_00167026_00167252,2.26, Giải trừ thuốc nâng cấp đồ vật,0.41146969847872733,giải trừ thuốc nâng cấp đô,segments_16k/fv4HqX3MemI_00167026_00167252.wav
fv4HqX3MemI_00236190_00236302,1.12, Mình nói giận đó,0.4413039309001342,mình nói giờ,segments_16k/fv4HqX3MemI_00236190_00236302.wav
rSWDKZ2W6PE_00075234_00075348,1.14, Dậy đi Nobita,0.4613611797968751,dậy đi nô bi,segments_16k/rSWDKZ2W6PE_00075234_00075348.wav
rSWDKZ2W6PE_00091820_00092102,2.82, Bây giờ tụi mình hãy trở thành mồ cho cá để vô trong bụng của nó đi,0.39919328248170793,bây giờ tụi mình hãy trở thành mồi cho cá để vô trong bụng của nó,segments_16k/rSWDKZ2W6PE_00091820_00092102.wav
rSWDKZ2W6PE_00096702_00096812,1.1, Cậu định làm gì vậy,0.4888023802235849,à cô định làm gì,segments_16k/rSWDKZ2W6PE_00096702_00096812.wav
rSWDKZ2W6PE_00103770_00104083,3.14, Tiếng hát của cha anh chắc chắn sẽ làm cho con cá dòi giật mình,0.47196567459253097,tiếng nga của cha anh chắc chắn sẽ làm cho con cái do giật mình,segments_16k/rSWDKZ2W6PE_00103770_00104083.wav
rSWDKZ2W6PE_00130880_00131188,3.08, Bánh quy đó là bảo mối sẽ khiến cậu biến thành hình động vật đó,0.4701351728595772,bên đó là bảo bối sẽ kiến cổ biến thành hình động vật,segments_16k/rSWDKZ2W6PE_00130880_00131188.wav
rSWDKZ2W6PE_00134614_00134960,3.4600625," Ê, khách của mẹ mà ăn bánh quy đó sẽ xảy ra họa lớn cho mẹ coi",0.4600654300520213,cách của mẹ bạn bên quy đó sẽ xảy ra quả lớn cho bà,segments_16k/rSWDKZ2W6PE_00134614_00134960.wav
rSWDKZ2W6PE_00140068_00140302,2.34," Bác ơi, bác thấy trong người có gì lạ không bác",0.45224878574108984,bác ơi bác thấy trong người có gì lạ không bác,segments_16k/rSWDKZ2W6PE_00140068_00140302.wav
rSWDKZ2W6PE_00150692_00150892,2.0, Dạ mời bác về phòng khách ạ,0.41565979301220557,dạ mời bác về phòng khác,segments_16k/rSWDKZ2W6PE_00150692_00150892.wav
rSWDKZ2W6PE_00157912_00158138,2.26, Vậy bác muốn nói về chuyện gì ạ,0.41875961706634274,vậy bác muốn nói về chuyện gì,segments_16k/rSWDKZ2W6PE_00157912_00158138.wav
