filename,duration,whisper_transcripts,distance,transcripts,audio_path
0MjJhJhmhs4_00186348_00186666,3.18, Thì nó sẽ tạo ra phản lực tương tự như khí phản lực của tàu vũ trụ,0.5097263610172058,thì nó sẽ tạo ra phản lực tương tự như cái phản lực của tàu vũ trụ,segments_16k/0MjJhJhmhs4_00186348_00186666.wav
0MjJhJhmhs4_00186990_00187206,2.1600625, Cậu có thể dùng bão bối này để bay tự do,0.4906132874935676,cậu có thể dùng bảo bối này để bay tự do,segments_16k/0MjJhJhmhs4_00186990_00187206.wav
0MjJhJhmhs4_00210067_00210323,2.56, Tụi mình có thể chuyển đổi chất liệu từ giấy thành sắc á,0.491603037936707,tụi mình có thể chuyển đổi chất liệu từ giấy thành sắt,segments_16k/0MjJhJhmhs4_00210067_00210323.wav
0MjJhJhmhs4_00215134_00215421,2.88, Chỉ cần biến đổi chất liệu giấy thành sắc nữa là hoàn thành,0.483513130918833,chỉ cần biến đổi chất liệu giấy thành sắt nữa là hoàn thành,segments_16k/0MjJhJhmhs4_00215134_00215421.wav
0MjJhJhmhs4_00223321_00223534,2.12, Con tàu này không đủ mạnh để bay trong không gian đâu,0.44230983362583737,con tàu này không đủ mạnh để bay trong không gian,segments_16k/0MjJhJhmhs4_00223321_00223534.wav
0MjJhJhmhs4_00223740_00223964,2.24, Tàu con thôi được tạo ra trong mục đích sử dụng khác,0.48836688460226924,và con tôi được tạo ra trong mục đích sử dụng khác,segments_16k/0MjJhJhmhs4_00223740_00223964.wav
0MjJhJhmhs4_00223964_00224204,2.4, Chứ không phải để đi tới các hành tinh như cậu nghĩ đâu,0.5062286167856753,chứ không phải để đi tới các hành tinh như cậu nghỉ đâu,segments_16k/0MjJhJhmhs4_00223964_00224204.wav
0MjJhJhmhs4_00225740_00225869,1.3, Chuyển hướng qua bên trái đi,0.49527120391245305,chuyển hướng qua bên trái đi,segments_16k/0MjJhJhmhs4_00225740_00225869.wav
0MjJhJhmhs4_00236973_00237238,2.64, Chúng ta không hiểu rõ về bất cứ động vật nào ở đây đâu,0.48891652419558657,chúng ta không hiểu rõ về bất cứ động vật nào ở đây đâu,segments_16k/0MjJhJhmhs4_00236973_00237238.wav
0MjJhJhmhs4_00238776_00238988,2.12, Một hành tinh nhỏ bé chưa từng được ai biết tới,0.48958307366654,một hành tinh nhỏ bé chưa từng được ai biết tới,segments_16k/0MjJhJhmhs4_00238776_00238988.wav
