filename,duration,whisper_transcripts,distance,transcripts,audio_path
diu4Nlu1Iyk_00138250_00138526,2.76, Máy thay đổi phong cảnh ngoài cửa sổ,0.39614613535405113,máy thay đổi phong cảnh ngoài cửa sở,segments_16k/diu4Nlu1Iyk_00138250_00138526.wav
diu4Nlu1Iyk_00138526_00138806,2.8, Cậu có thể xem phong cảnh ở nơi khác bằng bảo bối này,0.3895391313093205,cậu có thể xem phong cảnh ở nơi khác bạn bảo bố,segments_16k/diu4Nlu1Iyk_00138526_00138806.wav
diu4Nlu1Iyk_00139788_00139976,1.88, Sau đó hướng máy về phía cửa sổ,0.4367533559262088,ta đã hướng mấy dịch với cơ sở,segments_16k/diu4Nlu1Iyk_00139788_00139976.wav
diu4Nlu1Iyk_00162688_00162934,2.46, Cửa sổ nơi nào cao cao một chút là được à,0.4417452671525044,cửa sổ nơi nào cao cao một chút là được,segments_16k/diu4Nlu1Iyk_00162688_00162934.wav
diu4Nlu1Iyk_00166884_00167060,1.76, Đây chính là cửa sổ trên máy bay,0.4778825403124615,đây chính là cửa sổ trên máy bay,segments_16k/diu4Nlu1Iyk_00166884_00167060.wav
diu4Nlu1Iyk_00167612_00167788,1.76, Thấy được cá tàu luôn kìa,0.43351859268575693,thấy được cả tàu luôn kìa,segments_16k/diu4Nlu1Iyk_00167612_00167788.wav
diu4Nlu1Iyk_00182160_00182306,1.46, Ừ được chứ sao không,0.4677362438931453,được chứ sao không,segments_16k/diu4Nlu1Iyk_00182160_00182306.wav
diu4Nlu1Iyk_00198424_00198662,2.38, Vì chúng ta xác định được vị trí đó rồi mà,0.4592417239619341,vì chúng ta xác định được vị trí đó rồi mà,segments_16k/diu4Nlu1Iyk_00198424_00198662.wav
diu4Nlu1Iyk_00201388_00201526,1.38, Chúng ta qua đó thử xem,0.45127367474418667,chúng ta qua đó thử xem,segments_16k/diu4Nlu1Iyk_00201388_00201526.wav
diu4Nlu1Iyk_00203672_00203872,2.0, Nhưng mà vẫn không có ai ở nhà hả,0.45665602219364065,nhưng mà vẫn không có ai ở nhà,segments_16k/diu4Nlu1Iyk_00203672_00203872.wav
cztYyvSGBCM_00004096_00004350,2.54, Hơi ga kịch tính này là một loại hơi ga đặc biệt,0.4181675432053336,hơi ga kịch tính này là một loại hơi ga đặc biệt,segments_16k/cztYyvSGBCM_00004096_00004350.wav
QQZRZBdwh4M_00060850_00061191,3.42, Mình quên mất bình dịch này chỉ có hiệu quả trong vòng 24h thôi,0.4283214504735763,mình quên mất bình xịt này chỉ có hiệu quả trong vòng hai mươi bốn giờ thôi,segments_16k/QQZRZBdwh4M_00060850_00061191.wav
QQZRZBdwh4M_00072974_00073150,1.76, Bọn cậu bị điên rồi hay sao vậy,0.4685424821307659,bọn cậu bị điên tại sao vậy,segments_16k/QQZRZBdwh4M_00072974_00073150.wav
QQZRZBdwh4M_00073468_00073676,2.08, Mình đào đâu ra mấy cái máy như vậy được hả,0.39893760335851336,mình đọc đâu ra mấy cái mảng như vậy được hả,segments_16k/QQZRZBdwh4M_00073468_00073676.wav
QQZRZBdwh4M_00090180_00090370,1.9, Cậu xài cổ mấy thời gian hả,0.399134554188113,đâu xài của mấy thời gian,segments_16k/QQZRZBdwh4M_00090180_00090370.wav
QQZRZBdwh4M_00116124_00116368,2.44, Chúng ta nhất định không thể để thua Suneo được,0.39522619885666055,chúng ta nhất định không thể để thô sơ,segments_16k/QQZRZBdwh4M_00116124_00116368.wav
QQZRZBdwh4M_00116968_00117206,2.38, Sao cậu lại cắt chỗ đó thành như vậy hả Nobita,0.4646708489403933,là cái chỗ đó thành như vậy hả nô bi ta,segments_16k/QQZRZBdwh4M_00116968_00117206.wav
P7O--QKoHmw_00027806_00028062,2.56, Chúng ta có thể dùng cách trung hòa chỉ số mà,0.43283294002800116,chúng ta có thể dùng cách trung hà chỉ số mà,segments_16k/P7O--QKoHmw_00027806_00028062.wav
P7O--QKoHmw_00028504_00028916,4.12, Chỉ cần chúng ta tìm cách cho người mang chỉ số ánh nắng cao tới đây là được trung hòa với ba rồi,0.3714492553380833,chỉ cần chúng ta tìm cách cho người mang chỉ số anh nâng cao tới đây là được trung hòa với ba,segments_16k/P7O--QKoHmw_00028504_00028916.wav
P7O--QKoHmw_00056394_00056714,3.2, Mấy người đem lại ánh nắng rực rỡ như chai anh rất khó tìm,0.42577864731560033,mọi người đem lại rất vỡ người trai anh rất khó tìm,segments_16k/P7O--QKoHmw_00056394_00056714.wav
P7O--QKoHmw_00063994_00064186,1.92, Nơi này không khí trong lành chứ bộ,0.4326140853597575,nơi này trong khi chồng làm cho,segments_16k/P7O--QKoHmw_00063994_00064186.wav
P7O--QKoHmw_00065970_00066164,1.94, Xung quanh đây toàn là cỏ cây hoa lá,0.4794914812897185,xung quanh đây toàn là cỏ cây hoa lá,segments_16k/P7O--QKoHmw_00065970_00066164.wav
P7O--QKoHmw_00155792_00155996,2.0400625, Ở đây mặt trời mọc đằng tay đó,0.3749859934946357,ở đây mặt trời mặt bàn tay đó,segments_16k/P7O--QKoHmw_00155792_00155996.wav
P7O--QKoHmw_00158778_00159116,3.38, Mà ngay cả đàn ông rồi phụ nữ hay bất cứ thứ gì cũng bị đảo lộn hết luôn,0.37060127712693164,mà đàn ông người phụ nữ hay bất cứ cái gì cũng bị đảo lộn,segments_16k/P7O--QKoHmw_00158778_00159116.wav
P7O--QKoHmw_00164570_00164744,1.74, Xin chào các cậu gái,0.47427686105075384,xin chào các cậu lá,segments_16k/P7O--QKoHmw_00164570_00164744.wav
P7O--QKoHmw_00171682_00172004,3.22, Bởi vì mình tới đây là để cho anh bạn Nobita bớt thông mình á,0.4116287966215831,bởi vì mình tới đây là để cho anh đặng nô bi ta bớt thân mình,segments_16k/P7O--QKoHmw_00171682_00172004.wav
P7O--QKoHmw_00175130_00175330,2.0, Nobita chưa bao giờ đi học trễ,0.4106267178801161,ta chưa bao giờ đi học,segments_16k/P7O--QKoHmw_00175130_00175330.wav
