filename,duration,whisper_transcripts,distance,transcripts,audio_path
UTBDPnrVWRg_00099908_00100160,2.52, Nó chỉ ở đâu đó quanh đây thôi ạ,0.49927253615590195,nó chỉ ở đâu đó quanh đây thôi,segments_16k/UTBDPnrVWRg_00099908_00100160.wav
UTBDPnrVWRg_00102920_00103194,2.74, Quả cầu này không chỉ có tác dụng đi xuyên thời gian thôi đâu,0.4713139661999496,quá câu này không chỉ có tác dụng xuyên thời gian thôi,segments_16k/UTBDPnrVWRg_00102920_00103194.wav
UTBDPnrVWRg_00103324_00103644,3.2, Nó còn có thể chuyển giao nội dung tới cho người đó luôn á nha,0.47074535575927423,nó còn có thể chuyển giao nội dung tới cho người đó luôn á nha,segments_16k/UTBDPnrVWRg_00103324_00103644.wav
UTBDPnrVWRg_00112818_00113132,3.1400625, Khi mới sinh ra mình cũng xinh đẹp giống Dora My vậy,0.4540107042716864,thì mới sinh ra mình cũng xinh đẹp giống đô ra mới vậy,segments_16k/UTBDPnrVWRg_00112818_00113132.wav
UTBDPnrVWRg_00113409_00113742,3.32, Nếu như ngay từ lúc mới sinh ra mình biết cuối cùng sẽ ra như thế này,0.4663021492151131,nếu như ngay từ lúc mới sinh ra mình biết cuối cùng sẽ ra như thế này,segments_16k/UTBDPnrVWRg_00113409_00113742.wav
UTBDPnrVWRg_00116172_00116448,2.76, Thì mình của tương lai sẽ gặp rắc rối rất lớn,0.5056434349019232,thì mình của tương lai sẽ gặp rắc rối rất lớn,segments_16k/UTBDPnrVWRg_00116172_00116448.wav
UTBDPnrVWRg_00127666_00128752,10.8600625, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.4541280782351784,đây là cái gì dạ là đèn đỏ hàng rào xuất hiện để bảo vệ người đi bộ đèn lúc cấp bách là còn đèn đỏ,segments_16k/UTBDPnrVWRg_00127666_00128752.wav
UTBDPnrVWRg_00131162_00133462,23.0, Hãy subscribe cho kênh Ghiền Mì Gõ Để không bỏ lỡ những video hấp dẫn,0.4838126785712876,thứ ba đó là nơi mà mình đã được sinh ra đó mà à không lúc này thì vẫn chưa có đâu đúng rồi mình cứ tới đó đi chú nhìn kìa quá trời đô ra mo luôn quá cậu ở bên,segments_16k/UTBDPnrVWRg_00131162_00133462.wav
UTBDPnrVWRg_00150076_00150250,1.74, Có một cái 500 cực âm đó,0.4931958075191984,có một cái năm trăm cực âm,segments_16k/UTBDPnrVWRg_00150076_00150250.wav
UTBDPnrVWRg_00205784_00205973,1.8999375, Vậy mà mình không nghĩ ra ta,0.42585398859267914,vậy mà mình không nghĩ ra,segments_16k/UTBDPnrVWRg_00205784_00205973.wav
UTBDPnrVWRg_00206132_00206390,2.58, Vậy là mình có thể trở lại như cũ rồi,0.48826283636477447,vậy là mình có thể trở lại như cũ rồi,segments_16k/UTBDPnrVWRg_00206132_00206390.wav
UTBDPnrVWRg_00209969_00210090,1.2, Tại cậu đó nó biết ta,0.5042641523956799,cháu cháu đưa máy bay,segments_16k/UTBDPnrVWRg_00209969_00210090.wav
UTBDPnrVWRg_00210856_00211080,2.24, Mình không thể cho cô ấy thấy mình như vậy,0.47688348809631936,mà mình không thể cho cô ấy thấy mình như vậy,segments_16k/UTBDPnrVWRg_00210856_00211080.wav
